PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
8,3,3,2,0,0,3,2,3
10,0,5,0,0,0,5,0,2
18,4,6,5,0,1,7,3,4
28,1,10,0,0,2,11,4,3
20,4,5,2,0,2,7,4,1
30,3,7,2,0,11,8,3,0
14,1,4,0,1,3,5,1,3
14,5,5,0,0,0,6,2,0
7,2,6,1,0,3,2,0,3
27,3,5,1,0,3,9,6,3
21,5,9,2,0,2,8,3,4
30,4,6,1,0,4,10,6,0
5,4,4,2,0,0,2,1,1
25,4,3,0,0,1,10,4,4
8,2,0,1,0,3,2,1,4
2,1,0,0,0,0,1,0,0
4,1,1,0,0,0,2,0,4
14,1,2,1,0,0,6,2,1
19,0,7,1,0,2,7,3,3
24,1,4,1,0,1,10,3,2
20,8,6,2,0,0,8,4,1
9,4,6,0,1,6,1,1,2
25,2,6,0,0,2,10,3,1
12,1,3,0,0,3,4,1,4
27,2,6,2,0,6,8,5,2
24,1,7,1,0,10,6,2,4
15,2,3,1,0,3,5,2,5
