PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
11,9,8,2,1,4,3,1,3
17,9,7,4,0,0,7,3,5
9,7,11,2,1,0,4,1,4
10,5,6,1,0,0,5,0,3
8,4,4,0,0,1,3,1,3
20,13,11,1,1,1,9,1,5
4,8,9,3,0,0,2,0,3
13,2,5,1,2,1,5,2,3
11,4,8,1,0,7,2,0,3
12,7,8,0,2,0,5,2,0
18,6,8,0,2,1,8,1,2
5,4,3,0,0,0,2,1,2
11,8,10,0,0,0,5,1,4
9,9,5,0,1,2,3,1,1
5,3,1,1,0,0,2,1,0
5,2,6,1,0,0,2,1,2
18,8,7,1,1,2,7,2,4
13,6,7,2,0,2,5,1,3
9,6,13,0,0,2,3,1,0
10,3,6,1,0,3,3,1,5
15,2,7,1,0,4,5,1,3
11,6,8,2,0,1,5,0,4
20,11,5,1,0,4,6,4,1
12,13,8,1,1,2,4,2,2
14,7,4,0,0,0,6,2,4
17,6,9,0,0,3,6,2,1
14,5,3,0,0,4,5,0,3
