PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
11,12,2,1,1,2,4,1,1
10,4,2,0,1,3,3,1,0
10,4,0,0,0,2,3,2,1
10,7,1,2,1,0,4,2,0
18,9,0,0,0,1,7,3,0
7,4,1,1,2,0,3,1,1
17,6,1,0,2,0,7,3,1
11,11,2,2,0,2,4,1,1
13,7,1,0,3,0,5,3,1
8,6,0,1,1,0,4,0,1
3,6,0,1,1,0,1,1,1
8,4,1,1,1,0,4,0,0
14,10,2,2,1,0,6,2,2
21,8,2,1,1,6,7,1,2
10,9,4,1,1,0,4,2,2
7,7,1,2,0,0,3,1,4
5,6,2,1,0,0,2,1,1
14,10,2,1,1,0,6,2,0
17,4,1,0,1,0,7,3,1
5,3,1,0,0,0,2,1,2
14,14,1,0,0,2,5,2,0
7,10,2,0,1,3,2,0,0
22,12,3,0,1,1,9,3,1
14,6,1,0,1,3,5,1,1
16,10,2,1,1,2,6,2,1
14,10,3,0,1,1,6,1,1
14,5,1,1,0,0,6,2,1
6,8,2,0,0,2,2,0,1
14,4,1,2,2,2,5,2,1
23,11,2,0,0,2,8,5,0
