PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
14,4,1,1,0,1,6,1,2
23,5,2,0,0,5,8,2,0
7,4,2,1,1,0,3,1,1
11,5,6,1,0,4,3,1,2
5,8,0,2,0,2,1,1,1
14,9,3,0,1,0,6,2,0
0,1,2,0,1,0,0,0,0
16,2,2,1,0,2,6,2,2
4,3,1,0,0,0,2,0,1
17,1,5,0,0,4,5,3,1
12,3,4,0,0,0,4,4,2
7,1,1,0,0,2,2,1,1
17,3,0,0,1,0,7,3,2
9,4,1,0,0,1,4,0,0
10,2,2,1,1,1,4,1,2
7,2,5,1,1,1,3,0,3
11,4,1,3,1,3,4,0,3
15,3,4,1,0,1,6,2,1
7,7,5,1,0,2,2,1,2
10,5,4,0,0,1,3,3,2
12,3,4,0,0,1,4,3,0
16,4,7,2,0,2,5,4,2
20,5,3,1,0,1,7,5,2
19,5,3,0,0,2,7,3,2
19,6,5,0,2,7,5,2,3
