PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
4,3,2,0,0,2,1,0,0
6,1,4,2,2,0,3,0,0
10,3,2,0,1,3,3,1,1
8,7,2,1,2,2,3,0,1
9,8,3,0,0,0,4,1,0
13,9,1,0,0,4,4,1,2
27,3,2,2,1,3,9,6,0
16,5,3,3,1,4,5,2,1
4,7,2,0,0,2,1,0,0
16,5,3,1,1,4,5,2,3
12,3,2,1,0,5,3,1,0
8,5,1,1,0,2,3,0,1
26,8,2,1,0,0,10,6,2
16,2,0,0,0,1,7,1,1
12,9,3,0,1,3,4,1,0
11,11,3,0,0,0,5,1,2
10,8,5,1,2,0,4,2,0
18,7,4,1,0,2,7,2,2
9,8,1,3,2,2,3,1,2
22,6,2,0,3,3,7,5,0
14,7,3,1,1,0,7,0,1
15,7,1,1,1,0,7,1,2
18,5,6,0,0,1,8,1,1
13,8,3,1,3,2,5,1,3
18,14,1,0,1,2,8,0,1
9,10,1,1,1,1,4,0,2
8,11,3,1,1,4,2,0,2
10,5,4,1,1,2,3,2,1
13,2,1,0,1,0,6,1,2
