PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
3,2,6,0,1,0,1,1,2
17,3,4,1,0,0,7,3,1
9,2,2,0,1,0,4,1,2
19,0,2,1,0,2,7,3,2
7,2,7,0,1,0,3,1,2
19,4,4,0,0,0,8,3,2
19,3,11,0,0,2,6,5,0
21,1,6,0,0,2,7,5,1
13,1,4,4,0,2,4,3,1
13,5,6,2,0,0,5,3,1
16,0,4,0,0,2,6,2,0
19,3,9,0,0,1,7,4,1
10,2,12,0,0,0,4,2,2
8,1,6,5,0,0,4,0,1
15,3,10,2,0,0,6,3,2
18,2,8,0,0,0,7,4,0
13,5,11,3,0,0,6,1,1
7,3,3,0,0,1,2,2,0
10,2,8,0,0,2,3,2,0
8,1,7,0,0,1,3,1,3
22,2,4,2,0,0,8,6,0
17,2,5,1,0,0,7,3,3
5,1,8,0,0,0,2,1,1
4,2,5,0,0,0,2,0,2
15,5,6,1,0,2,5,3,1
7,3,11,0,0,0,3,1,1
7,6,5,3,0,0,3,1,1
8,5,7,1,1,0,3,2,0
14,2,4,1,0,2,5,2,2
11,2,8,2,1,0,5,1,0
