PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
0,2,0,0,0,0,0,0,0
10,2,5,3,0,0,4,2,0
6,3,1,0,0,0,2,2,1
5,6,2,3,0,0,2,1,0
12,7,1,2,0,0,5,2,0
21,4,6,2,0,1,9,2,0
3,1,2,0,0,0,1,1,0
8,2,4,2,0,0,3,2,1
6,3,3,0,0,0,2,2,0
8,6,2,2,0,0,3,2,2
8,11,3,0,0,3,2,1,2
13,4,4,2,0,1,6,0,2
12,7,4,1,1,2,4,2,1
12,8,5,0,1,3,4,1,2
7,1,6,0,1,2,2,1,0
0,3,2,0,0,0,0,0,1
11,5,3,0,0,1,5,0,1
3,2,2,1,0,0,1,1,1
1,5,2,1,0,1,0,0,1
11,7,5,1,0,4,3,1,0
3,1,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,1
14,7,4,4,0,1,6,1,1
2,4,1,1,0,0,1,0,1
12,5,6,0,1,2,5,0,3
13,8,7,1,0,1,5,2,4
19,3,5,1,2,0,8,3,0
4,5,4,0,0,0,2,0,2
15,5,1,1,1,0,7,1,0
0,7,4,1,0,0,0,0,3
