PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
17,2,8,0,0,2,7,1,3
33,4,10,0,0,11,9,4,3
20,5,10,1,0,2,9,0,5
28,1,13,2,2,7,9,3,4
33,4,7,1,4,4,13,3,4
20,11,18,0,1,3,7,3,4
18,8,8,0,1,0,9,0,3
29,10,15,1,0,6,9,5,3
27,9,14,0,1,2,11,3,6
23,5,6,1,0,2,9,3,4
24,6,11,2,0,0,10,4,6
27,7,10,1,0,7,9,2,5
26,6,10,0,0,6,8,4,3
21,10,10,5,1,5,7,2,2
15,6,10,1,0,1,6,2,4
35,7,11,2,3,4,13,5,6
21,7,9,0,2,7,6,2,7
26,8,9,0,1,4,10,2,4
22,11,13,1,1,5,8,1,7
20,10,10,0,0,2,9,0,2
17,11,11,0,0,2,7,1,3
19,6,5,0,0,2,8,1,7
22,6,6,0,1,0,10,2,1
22,5,7,1,1,6,6,4,5
24,8,6,2,1,2,9,4,5
21,6,10,1,4,1,9,2,7
33,4,6,0,0,3,14,2,9
28,5,8,1,0,6,10,2,2
