PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
22,2,4,0,0,3,9,1,2
20,6,8,1,0,0,9,2,2
19,1,11,0,0,2,7,3,1
24,3,5,1,0,0,10,4,4
18,2,5,4,0,0,8,2,3
30,6,7,3,0,7,9,5,10
15,0,2,0,0,0,7,1,0
6,3,2,0,0,2,2,0,3
15,2,0,0,0,4,4,3,3
16,2,7,0,0,4,6,0,0
17,3,4,1,0,1,7,2,5
15,3,4,1,1,0,7,1,3
13,4,2,0,0,2,5,1,2
26,1,4,0,0,6,9,2,2
20,2,4,0,0,2,8,2,0
25,1,5,1,0,1,9,6,2
18,1,1,1,0,6,6,0,3
19,1,4,1,0,5,6,2,3
11,4,3,0,0,0,4,3,3
18,2,2,0,0,4,5,4,1
16,5,3,1,0,0,7,2,2
15,5,3,1,0,2,5,3,1
23,4,2,2,0,6,8,1,3
14,2,7,0,0,2,5,2,3
24,2,5,1,1,6,7,4,1
10,1,4,1,0,5,2,1,4
16,3,3,2,0,6,5,0,1
4,2,1,0,0,4,0,0,3
23,4,2,1,0,3,9,2,2
12,2,1,0,0,4,4,0,4
16,2,3,1,1,6,5,0,4
