PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
9,4,5,2,0,0,3,3,4
29,6,12,2,0,10,8,3,0
25,6,7,3,0,4,8,5,2
28,2,9,1,0,10,8,2,4
15,6,11,1,0,9,2,2,7
31,5,4,1,0,3,12,4,1
25,4,5,1,0,4,8,5,5
27,4,5,0,0,4,9,5,3
25,5,10,3,1,4,8,5,2
37,3,12,1,1,9,10,8,4
31,4,4,1,0,10,9,3,1
24,5,13,1,0,5,8,3,4
20,5,10,0,0,4,7,2,4
18,4,10,0,0,6,6,0,2
14,4,6,3,0,5,4,1,3
19,6,6,0,0,7,6,0,1
34,4,7,4,0,6,12,4,0
36,2,7,0,0,9,11,5,8
41,4,9,0,1,5,13,10,1
4,2,6,1,0,2,1,0,1
33,7,7,2,1,17,7,2,1
21,4,4,0,0,10,5,1,4
28,4,8,0,0,3,11,3,5
30,9,6,0,0,6,9,6,3
