PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
33,6,6,1,0,4,13,3,1
29,5,12,4,1,4,12,1,3
26,6,4,0,2,2,11,2,3
23,5,7,1,0,7,7,2,2
31,5,7,1,0,4,12,3,4
26,3,5,3,0,10,7,2,4
29,5,7,0,1,5,11,2,3
18,7,8,1,1,3,7,1,5
21,4,9,0,1,2,9,1,1
22,4,8,0,1,2,9,2,2
18,6,3,6,0,2,8,0,4
22,6,7,3,1,0,9,4,3
23,6,9,2,1,2,9,3,2
22,5,5,0,0,5,8,1,5
26,8,8,2,0,3,10,3,5
14,3,5,1,0,3,5,1,4
31,1,5,2,0,8,10,3,2
29,7,7,1,0,8,10,1,3
28,5,7,1,0,3,11,3,4
49,3,9,2,0,14,16,3,4
60,3,7,3,1,10,22,6,6
29,6,10,2,1,6,11,1,3
24,6,3,1,0,4,9,2,1
21,11,8,0,0,1,10,0,0
31,3,0,1,0,5,12,2,7
21,1,2,1,0,9,5,2,1
28,6,5,0,0,3,11,3,4
24,6,1,5,0,8,8,0,5
31,7,3,4,0,5,11,4,6
19,5,6,1,0,2,8,1,3
24,6,3,2,0,4,9,2,3
28,5,10,2,0,7,9,3,6
15,2,11,1,0,2,6,1,2
