PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
6,10,3,1,2,0,3,0,2
4,4,1,1,0,0,2,0,1
11,11,5,2,2,1,5,0,1
13,7,2,0,3,3,5,0,2
8,7,3,1,1,0,4,0,2
5,13,5,0,1,1,2,0,2
7,6,2,0,2,5,1,0,1
6,11,1,1,1,0,3,0,1
17,11,3,0,3,3,7,0,5
6,7,4,0,2,0,3,0,0
12,9,2,2,1,4,4,0,0
2,4,2,0,2,2,0,0,0
14,13,4,0,2,0,7,0,1
11,6,0,1,2,3,4,0,1
9,7,3,1,0,1,4,0,1
6,5,3,0,2,0,3,0,1
7,4,2,0,4,1,3,0,2
5,2,0,1,4,1,2,0,1
12,8,2,0,1,4,4,0,1
11,11,1,0,0,1,5,0,2
6,3,2,0,1,2,2,0,1
5,9,1,3,1,1,2,0,1
14,4,2,1,3,0,7,0,0
5,11,3,0,0,1,2,0,1
15,11,6,1,0,3,6,0,2
