PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
2,8,5,1,2,0,1,0,3
16,8,7,2,1,1,6,3,1
3,10,6,0,4,0,1,1,2
4,7,5,3,1,1,1,1,2
0,0,0,1,0,0,0,0,4
21,7,4,0,0,4,6,5,4
8,3,4,2,1,0,4,0,5
6,6,7,0,1,0,3,0,3
10,9,6,2,1,1,4,1,2
13,2,7,2,1,1,5,2,4
10,14,6,1,2,0,4,2,3
6,6,7,0,0,1,2,1,2
1,7,8,0,1,1,0,0,0
11,8,5,1,0,2,3,3,4
9,7,9,1,2,1,4,0,3
9,9,7,1,1,1,3,2,6
13,8,7,1,1,0,5,3,1
11,7,6,3,2,3,3,2,0
8,4,11,0,0,0,3,2,3
6,2,6,3,0,0,2,2,2
9,6,4,0,0,5,2,0,2
18,8,5,0,1,5,5,3,2
14,11,3,0,0,5,4,1,1
14,4,6,1,5,1,5,3,3
3,3,7,1,2,0,1,1,0
2,5,2,0,0,2,0,0,2
3,2,4,3,0,0,1,1,2
8,6,3,1,2,1,3,1,3
