PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
16,5,5,2,0,0,6,4,1
0,2,1,0,0,0,0,0,0
17,1,4,1,0,0,6,5,2
10,4,3,0,0,2,3,2,1
13,3,6,0,0,2,4,3,0
13,0,1,1,0,0,5,3,2
8,3,3,0,0,0,4,0,3
23,3,1,1,0,5,7,4,1
19,2,4,1,0,0,7,5,0
7,3,6,1,0,0,3,1,0
5,3,3,0,0,1,2,0,0
8,1,2,0,0,0,3,2,4
10,2,2,0,0,0,4,2,0
22,3,1,0,0,2,7,6,1
11,5,5,1,0,1,4,2,1
8,0,1,0,0,0,3,2,1
13,2,3,1,0,1,5,2,2
20,4,4,0,0,3,6,5,2
8,1,2,1,0,2,2,2,0
14,6,3,4,0,0,6,2,1
8,2,2,0,0,0,3,2,1
20,3,3,1,0,0,7,6,1
9,1,0,0,1,0,3,3,0
9,3,3,0,0,0,3,3,0
5,2,0,0,0,0,2,1,1
6,1,0,0,0,0,2,2,1
4,0,1,0,2,0,2,0,0
6,1,1,0,0,0,2,2,0
