PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
17,3,1,0,0,1,7,2,3
19,6,0,0,1,2,7,3,3
18,3,2,2,0,0,8,2,2
20,8,8,1,0,2,7,4,1
10,3,2,1,0,2,3,2,0
16,4,4,1,0,2,6,2,6
11,2,2,0,1,4,3,1,3
8,3,5,2,0,1,3,1,2
15,2,5,1,0,2,5,3,1
23,5,6,1,0,4,8,3,3
17,0,1,1,0,2,6,3,7
25,5,8,1,0,3,10,2,3
19,7,2,2,1,5,6,2,2
11,4,5,2,0,4,3,1,3
12,3,5,0,0,5,3,1,0
28,4,8,1,0,4,10,4,3
14,2,5,1,2,5,4,1,2
19,9,7,1,0,2,8,1,3
8,7,2,0,0,0,4,0,6
18,3,3,1,3,3,7,1,4
21,4,5,0,1,2,8,3,3
26,4,4,1,1,5,10,1,4
15,5,5,1,1,6,4,1,4
10,5,2,0,0,0,4,2,4
23,3,3,2,0,2,9,3,4
18,4,1,2,0,1,6,5,4
26,5,6,1,0,4,10,2,1
22,5,4,0,0,4,8,2,2
17,5,4,1,0,7,5,0,1
