PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
18,3,6,1,0,5,6,1,2
55,3,9,0,0,16,18,3,3
26,3,9,2,0,4,11,0,1
20,7,9,1,0,6,7,0,1
12,1,7,2,0,4,4,0,3
39,1,6,2,0,6,13,7,4
14,3,7,1,0,2,5,2,3
31,3,5,1,0,11,8,4,3
14,4,8,1,1,2,5,2,2
20,4,11,0,0,2,7,4,3
31,4,10,1,0,6,11,3,5
24,1,5,1,0,7,6,5,0
21,2,4,0,0,4,8,1,3
16,2,9,0,0,5,4,3,3
31,6,6,1,1,9,9,4,2
37,3,7,2,0,9,14,0,2
23,3,17,0,0,3,8,4,2
23,2,8,1,0,5,8,2,2
36,2,10,1,0,5,12,7,5
26,1,11,1,0,3,9,5,0
12,5,10,2,0,6,3,0,3
37,3,7,0,0,10,12,3,3
24,3,8,0,0,3,9,3,2
18,3,5,1,0,8,5,0,6
33,6,10,0,0,10,11,1,3
15,2,9,1,0,3,6,0,0
21,3,4,0,0,1,8,4,3
29,3,8,1,0,9,9,2,1
36,1,5,2,0,2,14,6,2
22,2,9,0,0,7,6,3,1
21,3,7,0,0,5,8,0,1
26,5,5,0,0,3,10,3,1
22,1,2,0,0,3,9,1,4
