PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
14,8,3,0,2,3,4,3,0
14,3,1,0,1,6,3,2,2
3,1,2,0,0,0,1,1,1
5,0,2,0,1,0,2,1,2
13,5,4,1,1,2,4,3,2
17,6,3,2,0,1,6,4,0
32,4,2,1,0,0,12,8,3
3,4,1,1,0,0,1,1,1
19,3,1,0,3,3,6,4,1
12,4,4,2,2,0,5,2,2
14,5,6,1,0,4,4,2,1
11,2,1,2,0,5,3,0,0
22,3,2,0,1,6,6,4,2
5,3,5,0,1,0,2,1,1
14,6,1,2,0,5,3,3,3
9,0,1,3,2,0,4,1,0
8,3,2,1,1,0,3,2,1
21,2,8,0,0,9,5,2,3
20,1,1,1,0,4,7,2,0
12,1,0,0,2,2,4,2,0
21,3,1,0,0,8,6,1,2
16,3,4,2,1,4,5,2,0
20,7,2,1,1,2,8,2,1
17,3,2,0,1,4,5,3,1
8,3,1,0,0,0,3,2,2
7,8,2,1,1,0,3,1,2
28,5,2,2,4,8,9,2,3
34,6,1,1,3,4,11,8,5
16,2,3,1,1,2,6,2,0
