PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
32,13,1,1,0,6,13,0,1
30,14,3,0,2,2,13,2,3
16,8,0,1,0,2,6,2,4
21,9,2,0,0,2,9,1,1
31,10,7,1,0,8,11,1,1
11,10,4,0,1,3,3,2,5
32,20,6,2,0,7,10,5,4
22,22,5,0,1,7,7,1,6
19,19,5,3,3,3,7,2,4
24,15,6,2,2,8,7,2,3
27,16,2,0,2,7,9,2,2
23,15,0,0,2,5,8,2,5
14,19,2,1,1,5,4,1,2
19,12,5,1,2,1,8,2,6
25,14,4,0,1,9,7,2,1
30,15,4,3,0,4,12,2,4
16,16,5,0,1,3,6,1,2
34,10,2,1,0,7,12,3,3
24,12,3,0,0,5,8,3,0
26,15,6,1,1,5,10,1,1
46,10,3,3,0,4,18,6,4
21,13,6,1,1,5,7,2,2
30,9,0,0,1,6,11,2,2
32,11,5,0,0,4,12,4,2
34,16,1,1,3,7,11,5,3
17,19,0,0,1,3,7,0,3
21,11,7,2,1,2,8,3,1
44,13,2,0,0,6,17,4,2
13,10,3,1,0,4,4,1,3
21,15,0,1,2,9,5,2,0
12,7,3,0,0,1,5,1,0
