PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
17,1,0,0,0,5,5,2,2
23,4,2,1,0,2,8,5,3
25,6,1,3,0,5,8,4,1
26,7,1,0,0,6,7,6,1
21,7,0,0,2,2,8,3,1
27,14,1,1,1,10,7,3,1
17,5,1,2,0,4,5,3,3
19,6,2,0,0,5,5,4,1
8,2,4,0,0,4,2,0,4
13,6,2,0,0,4,4,1,0
22,7,4,1,0,1,8,5,1
19,5,1,1,0,3,7,2,1
14,8,2,2,0,4,5,0,3
34,9,2,0,0,7,11,5,0
27,4,2,0,2,8,8,3,0
25,8,1,2,0,4,9,3,0
18,10,1,1,0,2,6,4,2
25,5,1,0,0,9,6,4,3
13,5,2,0,0,3,4,2,1
17,2,5,0,0,1,7,2,1
20,6,4,2,0,7,5,3,1
8,7,4,2,0,0,3,2,2
7,3,1,0,0,0,3,1,2
17,9,2,0,0,6,4,3,1
13,8,2,1,0,4,4,1,2
35,9,2,0,0,13,9,4,2
