PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
13,6,6,2,0,0,6,1,1
21,3,3,3,0,2,8,3,3
17,2,3,2,0,5,6,0,2
41,1,4,2,2,1,17,6,0
14,1,4,1,0,0,5,4,2
18,0,2,2,0,1,7,3,3
29,6,6,1,0,1,12,4,3
17,1,1,1,1,2,7,1,1
19,4,2,0,1,0,9,1,2
23,3,3,1,0,0,9,5,1
20,3,3,2,1,1,8,3,1
19,3,7,1,0,3,7,2,2
19,2,5,2,0,1,8,2,2
31,4,1,0,1,0,12,7,1
8,2,2,2,0,1,3,1,3
20,5,0,0,0,0,8,4,2
14,2,6,0,0,0,6,2,0
7,3,0,1,1,0,3,1,2
16,3,5,1,0,0,7,2,0
14,3,5,0,0,0,7,0,2
21,6,1,1,1,0,9,3,1
22,5,4,1,1,0,9,4,1
20,6,5,1,0,3,8,1,3
14,4,3,2,1,0,7,0,1
8,7,4,0,1,0,4,0,2
17,3,3,1,1,0,7,3,1
10,2,5,1,0,0,4,2,2
15,3,0,1,0,0,6,3,4
15,7,3,3,1,0,6,3,0
17,3,6,2,2,1,6,4,1
19,6,3,2,1,0,9,1,2
21,1,5,1,0,3,8,2,1
16,0,2,0,0,0,7,2,1
