PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
28,4,1,1,2,8,8,4,2
7,3,2,0,0,1,2,2,4
7,7,2,1,1,0,3,1,1
12,4,2,1,0,0,5,2,1
10,7,1,1,1,0,4,2,3
14,9,0,2,1,1,5,3,2
13,4,1,1,1,3,4,2,2
13,5,1,1,1,5,4,0,2
10,7,2,0,2,4,2,2,0
18,8,7,1,2,2,6,4,4
14,3,6,1,0,0,5,4,3
16,11,1,1,1,0,7,2,1
19,10,7,1,2,2,7,3,4
11,10,4,1,3,0,5,1,1
21,10,3,2,0,6,7,1,2
22,13,1,3,0,6,8,0,4
4,6,1,1,2,0,2,0,1
27,17,2,0,1,10,7,3,1
0,4,2,2,0,0,0,0,0
8,11,0,0,3,2,3,0,2
7,4,2,1,0,0,3,1,1
6,9,1,3,3,0,3,0,1
17,8,3,1,0,0,7,3,0
12,11,2,4,2,0,6,0,3
5,6,0,1,1,0,2,1,1
11,5,2,1,0,1,4,2,0
