PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
6,0,7,3,0,2,2,0,3
19,4,6,5,1,1,8,2,1
18,0,10,2,1,3,6,3,1
14,6,4,1,0,4,4,2,4
12,4,1,0,0,2,4,2,1
7,4,4,1,1,2,2,1,2
2,1,4,0,1,2,0,0,1
4,2,5,1,0,0,2,0,1
13,2,0,1,0,6,3,1,3
17,2,9,0,1,2,6,3,1
9,3,8,0,0,2,3,1,4
6,1,10,1,1,0,3,0,4
11,4,5,2,0,2,4,1,5
14,4,2,3,0,0,6,2,3
5,1,8,1,0,0,2,1,3
16,4,3,1,0,4,6,0,3
11,3,3,1,0,0,5,1,2
5,2,5,2,0,1,2,0,5
7,2,1,0,0,0,3,1,1
8,3,5,0,0,1,3,1,2
14,3,6,1,0,2,5,2,3
18,4,5,0,0,7,5,1,4
9,5,7,0,0,4,2,1,4
15,1,6,3,0,0,7,1,3
22,4,4,0,0,8,7,0,2
