PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
11,2,3,1,1,0,4,3,1
22,6,6,1,0,0,9,4,5
38,1,6,0,0,2,14,8,4
10,5,7,0,3,4,2,2,3
31,3,10,1,0,4,10,7,1
2,3,1,1,1,2,0,0,2
26,5,10,1,0,1,9,7,2
19,3,5,2,1,0,8,3,1
30,4,8,1,0,9,8,5,3
23,2,4,0,0,8,6,3,3
24,7,11,0,0,4,8,4,5
23,7,4,0,0,4,8,3,0
28,4,7,1,0,4,8,8,3
14,7,5,0,0,1,5,3,3
19,7,7,1,1,3,6,4,4
23,4,8,2,1,5,7,4,5
26,7,6,0,1,0,10,6,3
13,8,5,4,0,2,4,3,3
37,6,9,1,2,4,14,5,4
36,5,7,1,1,3,13,7,3
12,1,2,2,0,1,5,1,6
27,7,9,4,1,7,8,4,3
24,3,6,0,0,6,7,4,2
18,4,6,2,1,2,6,4,6
20,3,4,2,0,2,7,4,3
17,9,10,2,0,6,4,3,2
