PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
34,2,10,1,2,7,10,7,5
11,1,15,1,0,3,3,2,3
27,2,13,2,0,7,8,4,2
29,2,7,0,0,9,8,4,5
23,0,16,3,0,6,7,3,5
35,7,10,0,1,14,9,3,5
22,5,11,1,0,4,8,2,3
15,4,10,3,0,1,6,2,4
31,4,20,2,0,8,9,5,3
17,4,7,0,0,5,6,0,4
12,8,15,1,0,0,5,2,5
14,4,5,1,0,4,4,2,6
21,3,11,0,0,5,7,2,7
20,4,22,0,0,5,6,3,5
18,2,16,3,0,6,5,2,3
25,1,13,4,1,8,8,1,4
12,3,11,2,0,3,4,1,3
7,3,19,2,0,5,1,0,5
29,5,8,0,0,8,8,5,6
18,2,9,0,0,4,5,4,6
14,3,16,0,0,0,6,2,6
35,2,13,2,0,7,11,6,3
23,6,10,2,0,6,7,3,2
2,0,6,1,0,0,1,0,3
23,4,12,1,0,2,8,5,2
25,5,12,0,0,6,8,3,5
35,4,15,2,0,7,12,4,3
14,8,13,1,1,8,2,2,6
24,1,8,0,0,8,7,2,10
38,8,10,4,0,11,11,5,7
30,5,12,1,1,14,7,2,3
