PTS,REB,AST,STL,BLK,FTM,FGM,FG3M,TOV
27,6,9,0,0,4,10,3,3
28,7,10,0,0,8,8,4,2
20,3,2,1,0,1,8,3,6
17,12,9,0,1,5,5,2,1
22,6,5,0,0,5,7,3,4
28,12,5,3,0,3,11,3,0
23,4,1,1,0,1,9,4,3
23,4,4,0,0,1,9,4,2
34,6,7,0,0,9,10,5,2
17,8,7,2,0,0,8,1,3
31,5,4,1,0,0,11,9,4
19,5,4,0,0,5,6,2,2
31,4,3,2,0,7,9,6,1
23,3,4,1,0,3,8,4,1
27,8,5,1,0,1,11,4,6
18,5,5,1,0,5,5,3,1
18,10,5,1,0,1,8,1,1
18,5,5,0,0,4,6,2,3
28,4,4,1,0,5,8,7,1
20,3,5,0,0,6,6,2,4
40,5,8,4,0,2,14,10,1
26,6,3,0,0,4,9,4,8
24,7,11,0,0,0,10,4,1
28,3,6,0,0,5,9,5,3
27,6,3,0,1,4,9,5,4
15,6,1,0,0,3,5,2,2
34,5,7,1,0,2,12,8,1
19,4,6,1,0,2,7,3,2
22,5,5,1,0,5,7,3,3
14,5,3,0,1,2,5,2,1
